[2025-12-03 15:33:51,510][INFO] {
    "backend_name": "Aer",
    "use_noise_model": 0,
    "H_single_sp": "SparsePauliOp(['II', 'ZI'],\n              coeffs=[0.5+0.j, 0.5+0.j])",
    "num_qubits_single": 2,
    "num_params_single": 1,
    "num_copies": 2,
    "shots": 4096,
    "resilience_level": 0,
    "optimization_level": 3,
    "cost_function": {
        "type": "small negatives",
        "p": 2,
        "lam": 15,
        "eps": 0
    },
    "optimizer_info": {
        "name": "NGOpt",
        "min_iter": 30,
        "max_iter": 200,
        "ng_budget": 200,
        "improve_tol_abs": 1e-08,
        "improve_tol_rel": 0.001
    },
    "tags": [
        "Open-access",
        "CQAVQE_QHO_exact",
        "shots:4096",
        "Parallel Test",
        "2 copies"
    ]
}
[2025-12-03 15:33:51,512][INFO] Initial active copies: [0, 1]
[2025-12-03 15:33:51,513][INFO] Params per copy: 1
[2025-12-03 15:33:51,527][INFO] {
    "default_precision": 0.0,
    "backend_options": {
        "method": "automatic",
        "noise_model": null,
        "seed_simulator": 26818695
    },
    "run_options": {
        "shots": 4096
    }
}
[2025-12-03 15:33:51,532][INFO] [iter 000] active_ids=[0, 1], Es_active=[np.float64(0.9756218679624467), np.float64(0.6400385777582736)]
[2025-12-03 15:33:51,648][INFO] [iter 020] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,650][INFO] [iter 021] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,653][INFO] [iter 022] active_ids=[0, 1], Es_active=[np.float64(0.1404794139381269), np.float64(0.0)]
[2025-12-03 15:33:51,655][INFO] [iter 023] active_ids=[0, 1], Es_active=[np.float64(0.8115019056476451), np.float64(0.0)]
[2025-12-03 15:33:51,657][INFO] [iter 024] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,659][INFO] [iter 025] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,708][INFO] [iter 026] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,711][INFO] [iter 027] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,713][INFO] [iter 028] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,715][INFO] [iter 029] active_ids=[0, 1], Es_active=[np.float64(0.3316005279815013), np.float64(0.0)]
[2025-12-03 15:33:51,717][INFO] [iter 030] active_ids=[0, 1], Es_active=[np.float64(0.918851038495619), np.float64(0.0)]
[2025-12-03 15:33:51,720][INFO] [iter 031] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,722][INFO] [iter 032] active_ids=[0, 1], Es_active=[np.float64(0.1757397022230398), np.float64(0.0)]
[2025-12-03 15:33:51,724][INFO] [iter 033] active_ids=[0, 1], Es_active=[np.float64(0.012644950790114184), np.float64(0.0)]
[2025-12-03 15:33:51,727][INFO] [iter 034] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,729][INFO] [iter 035] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,732][INFO] [iter 036] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,734][INFO] [iter 037] active_ids=[0, 1], Es_active=[np.float64(0.2017159164597922), np.float64(0.0)]
[2025-12-03 15:33:51,736][INFO] [iter 038] active_ids=[0, 1], Es_active=[np.float64(0.36179441157142245), np.float64(0.0)]
[2025-12-03 15:33:51,785][INFO] [iter 039] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,788][INFO] [iter 040] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,790][INFO] [iter 041] active_ids=[0, 1], Es_active=[np.float64(0.06430595975512898), np.float64(0.0)]
[2025-12-03 15:33:51,792][INFO] [iter 042] active_ids=[0, 1], Es_active=[np.float64(0.0), np.float64(0.0)]
[2025-12-03 15:33:51,795][INFO] [iter 043] active_ids=[0, 1], Es_active=[np.float64(0.16558930993638366), np.float64(0.0)]
[2025-12-03 15:33:51,797][INFO] [iter 044] active_ids=[0, 1], Es_active=[np.float64(0.11801099219088457), np.float64(0.0)]
[2025-12-03 15:33:51,799][INFO] [iter 045] active_ids=[0, 1], Es_active=[np.float64(0.2878269929192303), np.float64(0.0)]
[2025-12-03 15:33:51,802][INFO] [iter 046] active_ids=[0, 1], Es_active=[np.float64(0.593082210151685), np.float64(0.0)]
[2025-12-03 15:33:51,804][INFO] [iter 047] active_ids=[0, 1], Es_active=[np.float64(0.16275136898811216), np.float64(0.0)]
[2025-12-03 15:33:51,806][INFO] [iter 048] active_ids=[0, 1], Es_active=[np.float64(0.2797067399370704), np.float64(0.0)]
[2025-12-03 15:33:51,809][INFO] [iter 049] active_ids=[0, 1], Es_active=[np.float64(0.2967523940380688), np.float64(0.0)]
[2025-12-03 15:33:51,811][INFO] [iter 050] active_ids=[0, 1], Es_active=[np.float64(0.39521781217708407), np.float64(0.0)]
[2025-12-03 15:33:51,813][INFO] [iter 051] active_ids=[0, 1], Es_active=[np.float64(0.0029811924295887193), np.float64(0.0)]
[2025-12-03 15:33:51,862][INFO] [iter 052] active_ids=[0, 1], Es_active=[np.float64(0.9678503548826357), np.float64(0.0)]
[2025-12-03 15:33:51,862][INFO]   -> copy 0 converged: best_E=0.000000000000, stale_iters=50, tol_k=1.000e-08
[2025-12-03 15:33:51,862][INFO]   shrinking active set, new active_ids: [1]
[2025-12-03 15:33:51,865][INFO] [iter 053] active_ids=[1], Es_active=[np.float64(0.0)]
[2025-12-03 15:33:51,865][INFO]   -> copy 1 converged: best_E=0.000000000000, stale_iters=50, tol_k=1.000e-08
[2025-12-03 15:33:51,866][INFO]   shrinking active set, new active_ids: []
[2025-12-03 15:33:51,866][INFO] All copies converged by iter 53
[2025-12-03 15:33:51,866][INFO] 
=== Final best parameters per global copy ===
[2025-12-03 15:33:51,866][INFO] Copy 0: best_E=0.0, best_param=[0.]
[2025-12-03 15:33:51,866][INFO] Copy 1: best_E=0.0, best_param=[6.28318531]
